date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:35	17097/17097	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202020%2023:07:35%20GMT	https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/tenhaseunegocioonline.kpages.online/pagina-7gratis344119.html	(from )
20:07:36	141/141	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Apr%202020%2023:07:36%20GMT	https://tenhaseunegocioonline.kpages.online/robots.txt		(from )
20:07:37	297816/297816	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Apr%202020%2019:14:59%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/publish.css?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/publish8b2e.css	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:07:41	235393/235393	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e3c62a2610fa173d5cb5b2c7f3b88537%22	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/include.js?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/javascripts/public/js/include8b2e.js	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:14	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%2241f509832c9f60ac5522724f0114f4cf%22	http://connect.facebook.net/pt_BR/sdk.js	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/connect.facebook.net/pt_BR/sdk.js	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:15	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/body/begin.js?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/javascripts/public/js/body/begin.68b2e.delayed	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:15	4440/4440	---MCZ	200	added ('OK')	text/css	date:Fri,%2026%20Oct%202018%2019:19:02%20GMT	http://static-public.klickpages.com.br/tmp/zip/1101/styles/main.css?v=1540581541	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/tmp/zip/1101/styles/mainec82.css	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:17	48988/48988	---MC-	200	added ('OK')	application/javascript	date:Sun,%2026%20Apr%202020%2023:08:12%20GMT	https://apis.google.com/js/plusone.js	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/apis.google.com/js/plusone.js	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:17	4709/4709	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202017%2018:26:11%20GMT	http://static-public.klickpages.com.br/tmp/zip/739/styles/main.css?v=1509387969	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/tmp/zip/739/styles/mainb1f5.css	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:17	1102/1102	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Apr%202020%2019:14:59%20GMT	http://static-public.klickpages.com.br/app/assets/stylesheets/made_with.css?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/stylesheets/made_with8b2e.css	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:18	3808/3808	---M--	200	added ('OK')	image/png	etag:%2292c413d7d16dbed8ff310de135b9fb7d%22	http://static-public.klickpages.com.br/app/assets/images/logos/klickpages.png?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/images/logos/klickpages8b2e.png	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:18	17817/17817	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd55e7980ba4e00e83b7c236e449524f%22	http://static-public.klickpages.com.br/app/assets/javascripts/public/js/body/end.js?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/javascripts/public/js/body/end8b2e.js	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:19	43931/43931	---M--	200	added ('OK')	image/jpeg	etag:%22289e27f06ea29f6c8791e9c6a2f278a9%22	http://static-public.klickpages.com.br/uploads/media/file/1766327/planodefundodinheiro.jpg	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/uploads/media/file/1766327/planodefundodinheiro.jpg	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
20:08:19	7418/7418	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2016%20Apr%202020%2019:14:55%20GMT	http://static-public.klickpages.com.br/app/assets/javascripts/libs/libs.js?v=1587942316	C:/Users/RafaeL/Desktop/site/Pagina%20Upsell/static-public.klickpages.com.br/app/assets/javascripts/libs/libs8b2e.js	(from https://tenhaseunegocioonline.kpages.online/pagina-7gratis344119)
